Dan + Shay - 10,000 Hours (with Justin Bieber) | Artist Average: 4873929.80 | Streams Average: 4873929.80
Polo G - 21 | Artist Average: 5939452.29 | Streams Average: 5151406.00
Money Man - 24 (feat. Lil Baby) | Artist Average: 5432023.33 | Streams Average: 5432023.33
Ariana Grande - 7 rings | Artist Average: 9617321.00 | Streams Average: 5723980.00
Harry Styles - Adore You | Artist Average: 11347420.72 | Streams Average: 8396381.67
Don Toliver - After Party | Artist Average: 5351373.83 | Streams Average: 5351373.83
Joji - Afterthought | Artist Average: 4855142.17 | Streams Average: 4977405.00
Tainy - Agua (with J Balvin) - Music From Sponge On The Run Movie | Artist Average: 8476008.17 | Streams Average: 8476008.17
Juice WRLD - All Girls Are The Same | Artist Average: 7920635.06 | Streams Average: 5668704.67
John Legend - All of Me | Artist Average: 5376460.17 | Streams Average: 5376460.17
Bonez MC - Angeklagt | Artist Average: 7217633.00 | Streams Average: 7217633.00
Wallows - Are You Bored Yet? (feat. Clairo) | Artist Average: 5191927.50 | Streams Average: 5191927.50
KAROL G - Ay, DiOs Mío! | Artist Average: 9970692.77 | Streams Average: 13436489.33
KHEA - Ayer Me Llamó Mi Ex (feat. Lenny Santos) | Artist Average: 6810149.00 | Streams Average: 6810149.00
J Balvin - Azul | Artist Average: 8083776.53 | Streams Average: 6141196.67
Bebe Rexha - Baby, I'm Jealous (feat. Doja Cat) | Artist Average: 5632769.00 | Streams Average: 5632769.00
Billie Eilish - bad guy | Artist Average: 6234011.25 | Streams Average: 7238943.50
Kofs - Bande organisée | Artist Average: 6067371.00 | Streams Average: 6067371.00
13 Organisé - Bande organisée | Artist Average: 5409295.50 | Streams Average: 5409295.50
Dean Lewis - Be Alright | Artist Average: 5282763.67 | Streams Average: 5282763.67
Marshmello - Be Kind (with Halsey) | Artist Average: 5472139.47 | Streams Average: 6097601.50
Kane Brown - Be Like That - feat. Swae Lee & Khalid | Artist Average: 6198439.17 | Streams Average: 6198439.17
Ed Sheeran - Beautiful People (feat. Khalid) | Artist Average: 5322564.54 | Streams Average: 5131767.00
Lewis Capaldi - Before You Go | Artist Average: 11578950.00 | Streams Average: 12346463.33
Imagine Dragons - Believer | Artist Average: 6507617.00 | Streams Average: 6507617.00
BLACKPINK - Bet You Wanna (feat. Cardi B) | Artist Average: 11271744.74 | Streams Average: 11551876.00
ZAYN - Better | Artist Average: 7084101.00 | Streams Average: 7084101.00
KAROL G - BICHOTA | Artist Average: 5980010.00 | Streams Average: 5980010.00
Internet Money - Blastoff (feat. Juice Wrld & Trippie Redd) | Artist Average: 20485335.88 | Streams Average: 4836327.00
The Weeknd - Blinding Lights | Artist Average: 14462146.17 | Streams Average: 22973937.17
Machine Gun Kelly - bloody valentine | Artist Average: 7349373.13 | Streams Average: 6032935.00
MAX - Blueberry Eyes (feat. SUGA of BTS) | Artist Average: 5544117.00 | Streams Average: 5544117.00
Lil Mosey - Blueberry Faygo | Artist Average: 9413663.17 | Streams Average: 9413663.17
Queen - Bohemian Rhapsody - 2011 Mix | Artist Average: 5339607.17 | Streams Average: 5339607.17
BTS - Boy With Luv (feat. Halsey) | Artist Average: 15750370.00 | Streams Average: 4853675.60
21 Savage - Brand New Draco | Artist Average: 6662622.00 | Streams Average: 5841110.00
Dua Lipa - Break My Heart | Artist Average: 8595342.25 | Streams Average: 8021924.83
